RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6965922,11033,627.538,-1,-1,-1,-1,4881056,547226,6632740,12244
9,Bayern,8179636,14893,623.223,-1,-1,-1,-1,5811464,658248,7728712,19214
11,Berlin,2387313,4784,650.584,-1,-1,-1,-1,1670067,275765,2214903,7937
12,Brandenburg,1495125,3188,592.858,-1,-1,-1,-1,1025815,131448,1393797,3387
4,Bremen,512776,1394,752.752,-1,-1,-1,-1,345802,33427,481461,1264
2,Hamburg,1272263,3559,688.732,-1,-1,-1,-1,892568,117947,1186416,7744
6,Hessen,4085542,7070,649.728,-1,-1,-1,-1,2830391,338812,3737362,12790
13,Mecklenburg-Vorpommern,1019275,1860,633.823,-1,-1,-1,-1,741740,81339,958088,2073
3,Niedersachsen,5431709,11708,679.507,-1,-1,-1,-1,3477835,468685,4982737,20792
5,Nordrhein-Westfalen,12475788,26886,695.138,-1,-1,-1,-1,8736370,784649,11366773,24980
7,Rheinland-Pfalz,2729105,5359,666.627,-1,-1,-1,-1,1946352,211040,2489671,9235
10,Saarland,705329,1491,714.701,-1,-1,-1,-1,527395,57140,657033,2804
14,Sachsen,2243246,4508,550.899,-1,-1,-1,-1,1647962,201572,2107970,4792
15,Sachsen-Anhalt,1327862,2914,605.009,-1,-1,-1,-1,930209,117947,1260977,3763
1,Schleswig-Holstein,2038662,123,702.073,-1,-1,-1,-1,1399489,167137,1871969,136
16,Thüringen,1240893,2120,581.656,-1,-1,-1,-1,886802,124336,1184435,2705
0,Gesamt,54297654,102930,652.877,-1,-1,-1,-1,37831661,4398792,50431730,135965
