RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,135209,6274,12.181,68463,41931,4083,26213,134720,489,11591,3887
9,Bayern,232464,6148,17.712,57100,121571,4200,68388,224914,7550,4077,2418
11,Berlin,59567,2383,16.233,40253,18975,108,26718,58623,944,9372,2789
12,Brandenburg,49548,4477,19.647,16170,32160,553,8143,49548,0,1123,0
4,Bremen,13224,415,19.413,1562,6198,104,5215,12049,1175,1239,519
2,Hamburg,30549,1607,16.538,11220,14497,1824,7963,30339,210,1661,635
6,Hessen,82019,5112,13.044,22690,45336,4380,30734,82019,0,12350,5937
13,Mecklenburg-Vorpommern,44449,2621,27.640,5443,20683,889,18071,43846,603,3017,1316
3,Niedersachsen,109438,7363,13.691,21777,58773,17599,48475,107588,1850,2834,1174
5,Nordrhein-Westfalen,235919,11057,13.145,0,116986,0,118941,235919,0,16053,9346
7,Rheinland-Pfalz,104589,4724,25.548,37831,43963,51,22744,101482,3107,2362,436
10,Saarland,18612,853,18.859,13307,3501,0,6274,18612,0,0,0
14,Sachsen,62126,3550,15.257,5703,47093,1,15032,62126,0,2551,1412
15,Sachsen-Anhalt,38749,2809,17.655,12602,18915,1750,16074,38449,300,7747,2115
1,Schleswig-Holstein,75268,2762,25.921,20470,24246,5463,18434,75168,100,1166,98
16,Thüringen,32361,2622,15.169,8915,18673,1056,4065,32361,0,459,82
0,Gesamt,1324091,64777,15.921,343506,633501,42061,441484,1307763,16328,77602,32164
