RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6954779,9702,626.534,-1,-1,-1,-1,4871892,546921,6620243,10834
9,Bayern,8164519,11638,622.071,-1,-1,-1,-1,5799250,657630,7708841,15137
11,Berlin,2382412,3524,649.249,-1,-1,-1,-1,1666306,275200,2206815,6611
12,Brandenburg,1491819,1829,591.547,-1,-1,-1,-1,1023172,131327,1390233,2063
4,Bremen,511371,1026,750.689,-1,-1,-1,-1,344723,33349,480196,964
2,Hamburg,1268080,2490,686.468,-1,-1,-1,-1,889507,117846,1174388,8290
6,Hessen,4077902,5304,648.513,-1,-1,-1,-1,2823919,338510,3722513,11160
13,Mecklenburg-Vorpommern,1017388,1323,632.650,-1,-1,-1,-1,740136,81306,956020,1944
3,Niedersachsen,5414993,7934,677.415,-1,-1,-1,-1,3463593,468509,4959292,15686
5,Nordrhein-Westfalen,12432974,15018,692.752,-1,-1,-1,-1,8699291,783896,11332473,15477
7,Rheinland-Pfalz,2723053,3662,665.148,-1,-1,-1,-1,1941144,210807,2479859,9014
10,Saarland,703732,961,713.083,-1,-1,-1,-1,526100,57090,654184,2440
14,Sachsen,2238359,2934,549.699,-1,-1,-1,-1,1643693,201367,2102842,3461
15,Sachsen-Anhalt,1324396,1867,603.429,-1,-1,-1,-1,927474,117736,1256483,2545
1,Schleswig-Holstein,2036612,919,701.367,-1,-1,-1,-1,1397536,167130,1871672,1545
16,Thüringen,1238615,1593,580.589,-1,-1,-1,-1,884941,124303,1181634,2102
0,Gesamt,54168164,71746,651.320,-1,-1,-1,-1,37722987,4394995,50274137,109302
