RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6058632,50504,545.803,-1,-1,-1,-1,4157990,508461,4038941,75226
9,Bayern,6904342,87254,526.056,-1,-1,-1,-1,4799572,550559,4856059,73103
11,Berlin,2010252,12540,547.829,-1,-1,-1,-1,1364384,219551,1304685,25313
12,Brandenburg,1320038,6349,523.431,-1,-1,-1,-1,892649,116531,851317,12076
4,Bremen,430111,3839,631.400,-1,-1,-1,-1,290429,23598,252802,3997
2,Hamburg,984009,9283,532.688,-1,-1,-1,-1,666219,88382,663389,10812
6,Hessen,3406136,31728,541.681,-1,-1,-1,-1,2311674,258909,2233615,45635
13,Mecklenburg-Vorpommern,886374,5385,551.180,-1,-1,-1,-1,636579,71824,625636,9906
3,Niedersachsen,4520049,52952,565.458,-1,-1,-1,-1,2803260,357221,2868149,43534
5,Nordrhein-Westfalen,10330438,113183,575.601,-1,-1,-1,-1,6916242,677067,7207619,136247
7,Rheinland-Pfalz,2293143,24750,560.136,-1,-1,-1,-1,1589589,182394,1465583,27626
10,Saarland,577965,5495,585.645,-1,-1,-1,-1,431817,40419,426111,4662
14,Sachsen,1972029,11562,484.293,-1,-1,-1,-1,1389233,175403,1471855,29303
15,Sachsen-Anhalt,1145660,7314,521.993,-1,-1,-1,-1,796028,102981,783633,14935
1,Schleswig-Holstein,1706006,16116,587.514,-1,-1,-1,-1,1155572,130640,1097346,24948
16,Thüringen,1106805,4073,518.804,-1,-1,-1,-1,784716,122410,742940,14330
0,Gesamt,45817029,443036,550.906,-1,-1,-1,-1,31051466,3703520,30986128,554603
