RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1701250,27802,153.260,-1,-1,-1,-1,1101646,80965,661280,11103
9,Bayern,2095834,41458,159.686,-1,-1,-1,-1,1450800,106337,854132,3841
11,Berlin,595004,10119,162.149,-1,-1,-1,-1,367340,49760,265531,4255
12,Brandenburg,408316,568,161.909,-1,-1,-1,-1,265508,34568,135922,1
4,Bremen,130487,2525,191.554,-1,-1,-1,-1,89018,7611,42167,371
2,Hamburg,289598,6449,156.772,-1,-1,-1,-1,203974,13592,105773,726
6,Hessen,920834,14787,146.441,-1,-1,-1,-1,610755,40039,411120,4893
13,Mecklenburg-Vorpommern,231372,727,143.876,-1,-1,-1,-1,166432,16749,90088,3
3,Niedersachsen,1209336,5661,151.288,-1,-1,-1,-1,800580,79922,468622,10
5,Nordrhein-Westfalen,2892119,56949,161.146,-1,-1,-1,-1,1821925,115597,1039411,14718
7,Rheinland-Pfalz,657963,3930,160.718,-1,-1,-1,-1,447157,36195,206266,2
10,Saarland,179187,640,181.568,-1,-1,-1,-1,125361,14354,59773,0
14,Sachsen,627644,14921,154.138,-1,-1,-1,-1,431316,35453,283664,1120
15,Sachsen-Anhalt,364488,1650,166.070,-1,-1,-1,-1,229909,27721,114593,6
1,Schleswig-Holstein,513089,6481,176.697,-1,-1,-1,-1,350066,31885,144295,2840
16,Thüringen,353988,3364,165.928,-1,-1,-1,-1,249176,20048,152507,5508
0,Gesamt,13196552,198031,158.676,-1,-1,-1,-1,8710965,722451,5035195,49397
