RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,180411,8458,16.253,91942,58283,6166,34977,178720,1691,30451,3936
9,Bayern,290683,10384,22.148,96764,161132,5219,76200,273601,17082,93628,11587
11,Berlin,78060,3455,21.273,55186,22535,108,31943,76302,1758,19795,1637
12,Brandenburg,61879,3457,24.537,23217,36608,747,12087,61879,0,1145,22
4,Bremen,16475,525,24.185,2999,7181,129,6132,15217,1258,2122,258
2,Hamburg,36210,0,19.602,14356,18039,1833,10059,35900,310,4387,641
6,Hessen,104288,7227,16.585,37101,51430,4669,33296,104288,0,29645,3200
13,Mecklenburg-Vorpommern,51199,1145,31.837,8183,23037,1025,19671,50137,1062,5809,1909
3,Niedersachsen,135010,3948,16.890,25959,74095,21084,58397,133106,1904,8871,3448
5,Nordrhein-Westfalen,292154,560,16.279,0,146032,0,146150,292154,0,53982,3493
7,Rheinland-Pfalz,129595,4867,31.656,48321,50739,68,28791,125812,3783,4556,367
10,Saarland,18072,776,18.312,12382,4233,1,5533,17682,390,4666,623
14,Sachsen,73723,2440,18.105,7525,53731,152,19840,73534,189,6363,1764
15,Sachsen-Anhalt,43795,1646,19.954,14158,22031,1920,16955,43220,575,13007,1525
1,Schleswig-Holstein,85536,1655,29.457,25048,26191,5787,19792,85227,309,2795,1264
16,Thüringen,41335,2200,19.375,13549,22241,1602,5192,41335,0,2042,193
0,Gesamt,1638425,52743,19.700,476690,777538,50510,525015,1608114,30311,283264,35867
