RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8199021,914,738.624,-1,-1,-1,-1,5895524,638909,8206345,2235,6253884
9,Bayern,9710013,1299,739.825,-1,-1,-1,-1,7104983,762435,9790256,3121,7267912
11,Berlin,2839403,371,773.787,-1,-1,-1,-1,2029016,329838,2812168,805,2149316
12,Brandenburg,1754255,294,695.610,-1,-1,-1,-1,1236558,153234,1741100,620,1288330
4,Bremen,612935,145,899.784,-1,-1,-1,-1,419592,45577,603989,175,433344
2,Hamburg,1535919,173,831.461,-1,-1,-1,-1,1103133,129648,1531380,340,1089378
6,Hessen,4821345,429,766.744,-1,-1,-1,-1,3440165,406924,4675288,1218,3486508
13,Mecklenburg-Vorpommern,1195657,212,743.504,-1,-1,-1,-1,883505,99146,1193570,528,898762
3,Niedersachsen,6269733,651,784.343,-1,-1,-1,-1,4184828,515569,6190064,2276,4991315
5,Nordrhein-Westfalen,14391565,1351,801.883,-1,-1,-1,-1,10373075,907088,14095512,3590,10812181
7,Rheinland-Pfalz,3174251,478,775.361,-1,-1,-1,-1,2318156,242015,3067147,1078,2375623
10,Saarland,810447,75,821.216,-1,-1,-1,-1,611346,65723,806600,220,639297
14,Sachsen,2647964,492,650.290,-1,-1,-1,-1,1995015,241814,2606870,1030,1909928
15,Sachsen-Anhalt,1566923,328,713.931,-1,-1,-1,-1,1119660,146456,1589116,820,1159908
1,Schleswig-Holstein,2339070,383,805.528,-1,-1,-1,-1,1654112,191083,2341407,1056,2027052
16,Thüringen,1485880,205,700.808,-1,-1,-1,-1,1079158,141159,1483477,778,1077763
0,Gesamt,63556183,7806,764.202,-1,-1,-1,-1,45537903,5099941,62929021,19905,48001155
