RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1328134,24974,119.647,615940,520486,118721,104798,842108,60116,561123,7495
9,Bayern,1599264,23454,121.851,762855,640033,167401,140698,1074732,85805,749965,15116
11,Berlin,450145,7459,122.672,307964,144823,11179,50425,288965,44034,219662,5800
12,Brandenburg,344155,449,136.467,166780,113384,43589,28142,218849,22328,104602,0
4,Bremen,96584,2155,141.785,46904,42524,2620,9087,63311,5990,37298,604
2,Hamburg,222177,4298,120.274,81504,124592,11595,15882,150355,8560,94353,1827
6,Hessen,732022,8280,116.414,275358,291275,57676,57428,488307,28642,347698,8138
13,Mecklenburg-Vorpommern,177744,2345,110.528,76752,64961,11844,29025,130084,12027,78222,235
3,Niedersachsen,957508,6365,119.784,476088,389461,81193,109261,610240,54663,422360,2657
5,Nordrhein-Westfalen,2068463,29073,115.253,813584,1082394,110823,211385,1302271,88874,874021,16265
7,Rheinland-Pfalz,525354,9653,128.326,228532,226928,31293,48016,360101,30962,184405,636
10,Saarland,136038,1767,137.846,70565,46794,9458,15775,89241,7902,50294,1496
14,Sachsen,427237,8445,104.921,141594,150808,47117,33995,309342,27676,260102,4812
15,Sachsen-Anhalt,274708,4258,125.164,127634,101356,24266,37085,176267,19576,103549,1565
1,Schleswig-Holstein,407098,7993,140.196,206104,141239,39109,68297,269838,23699,118642,1197
16,Thüringen,293307,5542,137.485,148373,91999,43782,30713,188580,20022,127854,2598
0,Gesamt,10046898,146510,120.804,4546531,4180017,811666,990012,6562591,541246,4334170,70441
