RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6282551,32902,565.975,-1,-1,-1,-1,4351438,519326,4454180,81101
9,Bayern,7302642,52420,556.403,-1,-1,-1,-1,5117042,603675,5197469,89953
11,Berlin,2083747,11552,567.857,-1,-1,-1,-1,1437014,230985,1447078,31326
12,Brandenburg,1349186,5261,534.989,-1,-1,-1,-1,915180,119029,933426,17917
4,Bremen,452797,3558,664.703,-1,-1,-1,-1,309033,24419,286620,7252
2,Hamburg,1053668,6916,570.397,-1,-1,-1,-1,723132,96243,724605,15330
6,Hessen,3561041,28123,566.316,-1,-1,-1,-1,2435109,274436,2481651,53234
13,Mecklenburg-Vorpommern,916603,5046,569.978,-1,-1,-1,-1,663422,72940,682610,12618
3,Niedersachsen,4763724,40303,595.942,-1,-1,-1,-1,2984377,399232,3101964,64933
5,Nordrhein-Westfalen,10841805,85154,604.094,-1,-1,-1,-1,7375028,693966,7935174,149730
7,Rheinland-Pfalz,2399122,15446,586.023,-1,-1,-1,-1,1682938,184195,1626994,34265
10,Saarland,607562,5004,615.635,-1,-1,-1,-1,454473,45602,450322,5942
14,Sachsen,1999064,12220,490.933,-1,-1,-1,-1,1450969,178991,1567226,23067
15,Sachsen-Anhalt,1184216,7133,539.560,-1,-1,-1,-1,827771,106420,859715,16360
1,Schleswig-Holstein,1773694,12637,610.824,-1,-1,-1,-1,1202550,138567,1226040,29283
16,Thüringen,1133753,3962,531.436,-1,-1,-1,-1,804820,122806,826246,15851
0,Gesamt,47872792,327931,575.624,-1,-1,-1,-1,32802127,3888212,33909828,650869
