RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,5558608,61749,500.758,-1,-1,-1,-1,3747653,475739,3296701,84194
9,Bayern,6237790,54672,475.270,-1,-1,-1,-1,4305625,443235,3948221,93335
11,Berlin,1872530,16987,510.297,-1,-1,-1,-1,1256362,203564,1049905,24993
12,Brandenburg,1247453,12568,494.649,-1,-1,-1,-1,836483,110378,716870,15347
4,Bremen,387963,4641,569.527,-1,-1,-1,-1,252843,22817,212651,3229
2,Hamburg,882754,8891,477.874,-1,-1,-1,-1,584385,81853,539274,15309
6,Hessen,3149533,24554,500.874,-1,-1,-1,-1,2115094,236043,1775354,50416
13,Mecklenburg-Vorpommern,836092,7123,519.913,-1,-1,-1,-1,593876,69678,530389,15440
3,Niedersachsen,4120317,35849,515.451,-1,-1,-1,-1,2547859,274470,2388707,69344
5,Nordrhein-Westfalen,9509047,68183,529.834,-1,-1,-1,-1,6236372,659043,5780775,132565
7,Rheinland-Pfalz,2077729,22909,507.518,-1,-1,-1,-1,1409068,178899,1203951,24047
10,Saarland,532185,4150,539.256,-1,-1,-1,-1,396435,36372,360434,9582
14,Sachsen,1833824,13328,450.353,-1,-1,-1,-1,1272980,164659,1237109,23608
15,Sachsen-Anhalt,1062955,9148,484.310,-1,-1,-1,-1,728433,96552,656743,14226
1,Schleswig-Holstein,1571860,13336,541.316,-1,-1,-1,-1,1057980,114945,906323,19653
16,Thüringen,1032200,5970,483.834,-1,-1,-1,-1,717859,119401,623176,10150
0,Gesamt,42065100,365291,505.793,-1,-1,-1,-1,28113557,3363538,25301843,606912
