RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6718315,6141,605.232,-1,-1,-1,-1,4692626,537103,6193178,22617
9,Bayern,7890039,7440,601.158,-1,-1,-1,-1,5585655,643012,7028587,35419
11,Berlin,2279764,3389,621.275,-1,-1,-1,-1,1585968,263312,1988596,11638
12,Brandenburg,1429408,1801,566.800,-1,-1,-1,-1,975995,126208,1289174,5592
4,Bremen,488092,384,716.516,-1,-1,-1,-1,329653,30161,441117,1346
2,Hamburg,1204585,3660,652.095,-1,-1,-1,-1,841371,116515,982948,9446
6,Hessen,3917201,4601,622.957,-1,-1,-1,-1,2691854,331413,3380101,13031
13,Mecklenburg-Vorpommern,975857,1387,606.824,-1,-1,-1,-1,708413,78336,882336,5897
3,Niedersachsen,5224800,4146,653.622,-1,-1,-1,-1,3320257,458691,4412976,28085
5,Nordrhein-Westfalen,11835008,11771,659.434,-1,-1,-1,-1,8191293,764986,10240357,63033
7,Rheinland-Pfalz,2612096,3171,638.045,-1,-1,-1,-1,1852662,203777,2274498,9443
10,Saarland,678504,833,687.519,-1,-1,-1,-1,507914,55668,586858,3973
14,Sachsen,2154561,2954,529.120,-1,-1,-1,-1,1574175,195304,1990332,5029
15,Sachsen-Anhalt,1273769,1762,580.362,-1,-1,-1,-1,893080,113119,1160982,4923
1,Schleswig-Holstein,1943242,1495,669.213,-1,-1,-1,-1,1324553,159882,1697125,5304
16,Thüringen,1199314,865,562.167,-1,-1,-1,-1,855952,123999,1121409,2533
0,Gesamt,52010167,55817,625.372,-1,-1,-1,-1,36010517,4283289,45842065,227600
