RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,5879386,54263,529.656,-1,-1,-1,-1,4011938,494547,3756709,68006
9,Bayern,6635789,62005,505.594,-1,-1,-1,-1,4595359,509467,4531699,91292
11,Berlin,1964930,13918,535.478,-1,-1,-1,-1,1327324,214844,1219330,23013
12,Brandenburg,1298672,8026,514.959,-1,-1,-1,-1,876736,113848,811944,14653
4,Bremen,413853,5050,607.533,-1,-1,-1,-1,275742,23147,234849,3751
2,Hamburg,939060,11376,508.355,-1,-1,-1,-1,630242,82953,620791,13285
6,Hessen,3308665,25357,526.180,-1,-1,-1,-1,2236936,248716,2071336,39940
13,Mecklenburg-Vorpommern,869698,5553,540.811,-1,-1,-1,-1,622260,70845,593781,9377
3,Niedersachsen,4359819,42282,545.413,-1,-1,-1,-1,2708234,310688,2725698,49644
5,Nordrhein-Westfalen,9970117,81315,555.524,-1,-1,-1,-1,6602788,668683,6649295,109936
7,Rheinland-Pfalz,2216829,19856,541.495,-1,-1,-1,-1,1523049,181694,1371243,26455
10,Saarland,560205,5241,567.649,-1,-1,-1,-1,419096,37332,408181,6366
14,Sachsen,1923376,13005,472.345,-1,-1,-1,-1,1348981,171889,1376528,20758
15,Sachsen-Anhalt,1120533,9243,510.544,-1,-1,-1,-1,774490,101363,740560,10431
1,Schleswig-Holstein,1660775,12928,571.937,-1,-1,-1,-1,1122376,124959,1023047,14836
16,Thüringen,1079843,4121,506.166,-1,-1,-1,-1,760555,121354,692362,11017
0,Gesamt,44363821,374271,533.432,-1,-1,-1,-1,29899223,3553241,28915700,513841
