RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,787088,24695,70.906,376084,340423,36447,88000,545118,35094,359441,9774
9,Bayern,1024577,36685,78.065,447890,459156,64916,128965,757376,41182,476962,10128
11,Berlin,260284,8429,70.932,181014,82263,150,43976,205124,14965,137133,1879
12,Brandenburg,162614,9709,64.481,65615,84533,10869,24112,104397,7080,79933,668
4,Bremen,55738,1885,81.823,23281,27625,1138,8476,36553,2994,24349,441
2,Hamburg,139712,3695,75.632,58149,73248,3184,15967,95191,5433,66371,1197
6,Hessen,449365,17956,71.463,204465,186956,25351,51625,344337,15823,195443,5146
13,Mecklenburg-Vorpommern,109391,4683,68.023,39566,44603,2803,26202,88602,6319,56745,408
3,Niedersachsen,539440,16222,67.484,261319,213478,50465,97675,415466,17995,237348,11523
5,Nordrhein-Westfalen,1240927,43124,69.143,438117,666405,22873,190871,921309,28360,558007,9466
7,Rheinland-Pfalz,316025,13084,77.194,111016,161210,7346,36453,211115,4543,143587,184
10,Saarland,80833,2540,81.907,44684,29514,2454,10891,56102,3045,30745,1234
14,Sachsen,296334,6768,72.774,119726,114337,15919,33995,254908,12928,125432,4059
15,Sachsen-Anhalt,143478,5502,65.372,56471,67939,7250,32387,102007,7229,66705,1833
1,Schleswig-Holstein,215322,8663,74.152,94051,91391,10595,54816,157700,6982,98550,275
16,Thüringen,157423,4929,73.790,76278,66923,9754,25127,118795,8315,81352,2561
0,Gesamt,5978551,208569,71.886,2597726,2710004,271514,869538,4414100,218287,2738103,60776
