RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7826296,11723,705.047,-1,-1,-1,-1,5583583,595178,7578032,15496,3187887
9,Bayern,9293896,17542,708.121,-1,-1,-1,-1,6738278,722560,9018100,20529,3822627
11,Berlin,2722849,5036,742.024,-1,-1,-1,-1,1927831,322432,2633169,5558,1102922
12,Brandenburg,1684399,3571,667.911,-1,-1,-1,-1,1179090,143316,1607232,4081,626767
4,Bremen,582572,1048,855.212,-1,-1,-1,-1,396606,40905,556325,702,189798
2,Hamburg,1450047,2294,784.975,-1,-1,-1,-1,1029051,123031,1406940,2025,444073
6,Hessen,4588729,6465,729.750,-1,-1,-1,-1,3242659,378234,4341661,7347,1612906
13,Mecklenburg-Vorpommern,1150177,2097,715.223,-1,-1,-1,-1,847030,92038,1101359,2578,429925
3,Niedersachsen,6002084,7079,750.860,-1,-1,-1,-1,3949071,492771,5742975,9577,2417115
5,Nordrhein-Westfalen,13782442,16062,767.943,-1,-1,-1,-1,9841243,849783,13130610,18158,5708721
7,Rheinland-Pfalz,3037949,3452,742.067,-1,-1,-1,-1,2204424,226945,2844354,4365,1207134
10,Saarland,779879,1241,790.241,-1,-1,-1,-1,586711,61562,750597,1232,335192
14,Sachsen,2526244,4865,620.398,-1,-1,-1,-1,1893212,225035,2407704,5067,943189
15,Sachsen-Anhalt,1503365,2304,684.972,-1,-1,-1,-1,1070208,134113,1452965,3533,573387
1,Schleswig-Holstein,2240021,2705,771.417,-1,-1,-1,-1,1566353,181507,2173311,3782,916816
16,Thüringen,1417283,3891,668.455,-1,-1,-1,-1,1020199,135883,1363149,3098,553675
0,Gesamt,60786500,91611,730.899,-1,-1,-1,-1,43162517,4808397,58297370,107346,24145689
