RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8122368,4846,731.719,-1,-1,-1,-1,5831998,632032,8004218,9892,5752508
9,Bayern,9620471,6155,733.003,-1,-1,-1,-1,7025396,756675,9541025,13361,6541921
11,Berlin,2811117,1610,766.078,-1,-1,-1,-1,2007449,327268,2734852,3306,1928935
12,Brandenburg,1737813,1250,689.091,-1,-1,-1,-1,1222642,151752,1697463,2401,1150130
4,Bremen,605927,460,889.497,-1,-1,-1,-1,413794,44963,587476,844,392058
2,Hamburg,1499926,777,811.976,-1,-1,-1,-1,1072505,126566,1465700,1707,921816
6,Hessen,4766833,3286,758.074,-1,-1,-1,-1,3391576,403435,4548389,5382,3094661
13,Mecklenburg-Vorpommern,1182882,757,735.560,-1,-1,-1,-1,873303,97901,1163297,1594,797598
3,Niedersachsen,6193013,3731,774.746,-1,-1,-1,-1,4117890,511408,6014559,6887,4489429
5,Nordrhein-Westfalen,14249400,6692,793.961,-1,-1,-1,-1,10250219,896119,13750981,12388,9706126
7,Rheinland-Pfalz,3138837,1864,766.710,-1,-1,-1,-1,2290654,239671,2984758,2934,2160208
10,Saarland,803824,397,814.505,-1,-1,-1,-1,606116,65240,786373,970,589614
14,Sachsen,2618843,1743,643.139,-1,-1,-1,-1,1970194,239614,2534351,3036,1680981
15,Sachsen-Anhalt,1548088,1050,705.349,-1,-1,-1,-1,1103777,144497,1540123,2157,1000298
1,Schleswig-Holstein,2311838,1576,796.150,-1,-1,-1,-1,1629905,189431,2275575,2939,1717691
16,Thüringen,1468597,1046,692.657,-1,-1,-1,-1,1064727,140353,1439839,2615,960986
0,Gesamt,62880992,37280,756.084,-1,-1,-1,-1,44961690,5050195,61262214,72536,43016216
