RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7172083,7980,646.111,-1,-1,-1,-1,5048297,550574,6870459,8896,73312
9,Bayern,8409980,8290,640.773,-1,-1,-1,-1,5997361,666571,8021507,10815,48344
11,Berlin,2448178,2456,667.171,-1,-1,-1,-1,1717681,283718,2314682,3934,27944
12,Brandenburg,1536102,1566,609.107,-1,-1,-1,-1,1058153,131873,1448303,1815,6183
4,Bremen,530608,687,778.929,-1,-1,-1,-1,358899,34616,502073,885,6495
2,Hamburg,1310116,1285,709.224,-1,-1,-1,-1,923799,118247,1238319,2094,4117
6,Hessen,4216590,3828,670.569,-1,-1,-1,-1,2938701,342652,3932367,6568,34845
13,Mecklenburg-Vorpommern,1047107,968,651.130,-1,-1,-1,-1,763509,82255,993083,1484,4232
3,Niedersachsen,5597472,3914,700.243,-1,-1,-1,-1,3605831,470523,5226062,11753,12037
5,Nordrhein-Westfalen,12872727,9112,717.255,-1,-1,-1,-1,9078243,790445,11887150,16514,105685
7,Rheinland-Pfalz,2821451,2065,689.184,-1,-1,-1,-1,2024021,213784,2594021,3902,13093
10,Saarland,722758,499,732.361,-1,-1,-1,-1,541592,57305,687638,921,3854
14,Sachsen,2316486,3028,568.886,-1,-1,-1,-1,1710281,207393,2186856,3180,7111
15,Sachsen-Anhalt,1366091,1145,622.427,-1,-1,-1,-1,960564,118642,1308738,1311,11532
1,Schleswig-Holstein,2096772,1196,722.085,-1,-1,-1,-1,1446623,168193,1977779,1067,26081
16,Thüringen,1271595,525,599.742,-1,-1,-1,-1,908679,126205,1225769,940,10031
0,Gesamt,55928510,48549,672.487,-1,-1,-1,-1,39163998,4445579,52598618,76094,394976
