RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4269085,67967,384.589,-1,-1,-1,-1,2923212,320158,1460915,64654
9,Bayern,5276597,57722,402.034,-1,-1,-1,-1,3728868,366720,1635450,94266
11,Berlin,1339193,25453,364.953,-1,-1,-1,-1,920996,109108,532900,15753
12,Brandenburg,865688,13871,343.269,-1,-1,-1,-1,584920,65848,354093,14775
4,Bremen,272280,3723,399.705,-1,-1,-1,-1,179255,13743,115019,5055
2,Hamburg,696331,7658,376.955,-1,-1,-1,-1,473353,64787,231104,12445
6,Hessen,2480085,35994,394.411,-1,-1,-1,-1,1650455,197470,729878,27133
13,Mecklenburg-Vorpommern,661283,8356,411.210,-1,-1,-1,-1,479024,50300,202979,11394
3,Niedersachsen,3218202,37453,402.597,-1,-1,-1,-1,2087481,206867,924687,49445
5,Nordrhein-Westfalen,7462875,100484,415.823,-1,-1,-1,-1,5117162,465586,2190698,87617
7,Rheinland-Pfalz,1544397,24123,377.243,-1,-1,-1,-1,1071276,100415,604722,20369
10,Saarland,428677,4110,434.373,-1,-1,-1,-1,329716,30212,144253,8361
14,Sachsen,1392294,22959,341.921,-1,-1,-1,-1,971035,123530,686003,23151
15,Sachsen-Anhalt,823265,11699,375.101,-1,-1,-1,-1,586704,61093,285405,9718
1,Schleswig-Holstein,1046263,6293,360.312,-1,-1,-1,-1,749479,66549,439665,9334
16,Thüringen,772043,14580,361.888,-1,-1,-1,-1,552679,69086,352596,8686
0,Gesamt,32633840,444696,392.391,-1,-1,-1,-1,22409631,2374685,10915832,465678
