RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,371095,9681,33.431,215952,124861,11434,68503,353109,16900,181240,8436
9,Bayern,509111,14631,38.790,203382,245275,13753,107654,481831,12622,268958,11343
11,Berlin,141437,2280,38.544,101321,37668,150,39210,130495,4424,84033,2956
12,Brandenburg,82975,986,32.902,37733,41764,1416,18947,77970,4114,63690,2725
4,Bremen,26869,790,39.444,12890,10691,260,7569,23991,1661,16255,473
2,Hamburg,71301,1603,38.598,30165,34863,1900,13999,64935,1607,38921,1473
6,Hessen,207453,5959,32.991,102621,80974,5783,44725,199794,4998,96392,4314
13,Mecklenburg-Vorpommern,66232,1314,41.186,16426,29788,1524,20354,62322,1899,38776,1853
3,Niedersachsen,249974,13592,31.272,81927,118548,33400,85489,230675,6507,132842,4048
5,Nordrhein-Westfalen,650785,18634,36.261,164184,363761,14659,175585,594715,16776,304605,1947
7,Rheinland-Pfalz,162362,7087,39.659,57732,68908,98,35624,151312,4515,116301,2698
10,Saarland,37646,1602,38.146,23345,10901,0,9883,34057,1469,18315,641
14,Sachsen,139917,4535,34.361,37587,73484,4556,30489,132746,5890,69207,1973
15,Sachsen-Anhalt,73040,2122,33.279,25913,36340,3391,23400,66847,1802,42544,1626
1,Schleswig-Holstein,113317,2604,39.024,34016,35274,6661,34788,107322,1775,65808,2597
16,Thüringen,88278,2520,41.379,44745,36483,4478,16962,82848,3278,42741,1900
0,Gesamt,2991792,89940,35.973,1189939,1349583,103463,733181,2794969,90237,1580628,51003
