RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,269728,9495,24.299,154667,92072,9113,51870,262064,7664,96158,6537
9,Bayern,368547,8583,28.080,133787,187528,8159,94361,356981,11566,184229,11148
11,Berlin,111227,2762,30.311,82867,25692,148,34346,107831,3396,44083,2530
12,Brandenburg,78049,656,30.949,34973,39806,1192,17662,75692,2357,27628,3406
4,Bremen,21290,506,31.254,9580,8460,178,7132,20033,1257,8834,620
2,Hamburg,53886,951,29.171,20811,27098,1856,12741,52332,1554,19776,1357
6,Hessen,152473,4506,24.248,67731,64137,5295,39883,152473,0,61238,4234
13,Mecklenburg-Vorpommern,61425,1220,38.196,12727,26657,1271,21498,59694,1731,21115,393
3,Niedersachsen,176285,5056,22.053,39017,94335,27352,73950,172700,3585,82503,6556
5,Nordrhein-Westfalen,426777,6067,23.780,57037,256454,11593,161821,418882,7895,180974,6591
7,Rheinland-Pfalz,145593,769,35.563,52459,58769,90,34275,141788,3805,49620,6187
10,Saarland,24516,514,24.842,15867,6850,0,6131,23174,1342,13545,1035
14,Sachsen,104150,3288,25.577,17890,63887,2239,25668,101882,2268,35939,3684
15,Sachsen-Anhalt,57355,1649,26.132,19941,28696,2378,19308,55809,1546,29172,1094
1,Schleswig-Holstein,96209,1070,33.132,28056,28542,6390,27898,95248,961,27920,3753
16,Thüringen,65341,2798,30.628,27465,29894,2603,7818,63489,1852,20537,2007
0,Gesamt,2212851,49890,26.607,774875,1038877,79857,636362,2160072,52779,903271,61132
