RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8201612,407,738.858,-1,-1,-1,-1,5897106,639226,8211118,761,6264599
9,Bayern,9712440,209,740.010,-1,-1,-1,-1,7106501,762582,9795617,421,7281284
11,Berlin,2840940,80,774.205,-1,-1,-1,-1,2030089,329858,2814021,87,2152585
12,Brandenburg,1754623,2,695.756,-1,-1,-1,-1,1236739,153267,1741667,5,1290156
4,Bremen,613109,15,900.040,-1,-1,-1,-1,419738,45603,604340,18,433972
2,Hamburg,1536364,84,831.702,-1,-1,-1,-1,1103458,129698,1532033,133,1091780
6,Hessen,4823149,319,767.030,-1,-1,-1,-1,3441415,407014,4678534,450,3493906
13,Mecklenburg-Vorpommern,1195987,3,743.709,-1,-1,-1,-1,883677,99179,1194110,1,900668
3,Niedersachsen,6270845,61,784.482,-1,-1,-1,-1,4185707,515670,6192919,181,4999059
5,Nordrhein-Westfalen,14395726,237,802.114,-1,-1,-1,-1,10376046,907429,14103175,514,10836155
7,Rheinland-Pfalz,3174580,16,775.441,-1,-1,-1,-1,2318460,242029,3068433,34,2380026
10,Saarland,810605,19,821.376,-1,-1,-1,-1,611459,65734,807047,54,640716
14,Sachsen,2648629,6,650.454,-1,-1,-1,-1,1995437,241832,2608216,24,1913628
15,Sachsen-Anhalt,1567183,0,714.050,-1,-1,-1,-1,1119802,146488,1589761,1,1161743
1,Schleswig-Holstein,2339596,17,805.709,-1,-1,-1,-1,1654389,191128,2342465,30,2036253
16,Thüringen,1486382,0,701.045,-1,-1,-1,-1,1079310,141168,1484067,1,1079279
0,Gesamt,63573574,1475,764.411,-1,-1,-1,-1,45549412,5101228,62962262,2715,48096475
