RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,341642,5321,30.777,196742,116422,10954,64076,325943,15509,158007,6027
9,Bayern,471231,7516,35.904,184032,229871,12122,104917,450792,12455,237526,3766
11,Berlin,130316,996,35.513,96747,31061,150,37049,125092,4234,74722,3175
12,Brandenburg,81615,0,32.363,37395,40879,1304,18588,77501,4114,55044,0
4,Bremen,25045,436,36.766,12071,9778,224,7497,22884,1379,14450,573
2,Hamburg,66161,1017,35.816,27280,32676,1883,13735,61434,1604,34644,1070
6,Hessen,192608,3434,30.631,94129,75425,5685,43584,188642,3194,85885,2332
13,Mecklenburg-Vorpommern,62232,0,38.698,14341,28586,1451,19483,59480,1456,33100,0
3,Niedersachsen,212830,1011,26.625,58867,106698,30945,82219,204119,5297,120139,898
5,Nordrhein-Westfalen,584485,11904,32.567,128912,335396,13792,171632,546603,15572,288160,1739
7,Rheinland-Pfalz,151170,710,36.926,52565,62954,97,35554,145026,4500,100848,1828
10,Saarland,32947,0,33.385,21413,8890,0,8792,30886,1456,16227,0
14,Sachsen,129439,2612,31.788,30496,71260,4081,29723,124434,4461,61555,1554
15,Sachsen-Anhalt,67797,0,30.890,23669,34195,3019,22405,62947,1611,37747,0
1,Schleswig-Holstein,104943,595,36.140,30120,31586,6635,33551,102609,1392,56404,2801
16,Thüringen,81648,214,38.272,36360,35055,4169,9504,76267,3050,35781,338
0,Gesamt,2736109,35766,32.899,1045139,1250732,96511,702309,2604659,81284,1410239,26101
