RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1739329,37624,156.691,-1,-1,-1,-1,1123682,83881,670298,8773
9,Bayern,2156521,60687,164.310,-1,-1,-1,-1,1495198,111587,861619,7487
11,Berlin,608607,13603,165.856,-1,-1,-1,-1,377335,50293,269556,4025
12,Brandenburg,414729,6557,164.451,-1,-1,-1,-1,268702,37098,140425,4503
4,Bremen,133623,3134,196.158,-1,-1,-1,-1,91292,7736,42752,586
2,Hamburg,298982,9373,161.852,-1,-1,-1,-1,212367,14274,106317,544
6,Hessen,941992,21158,149.806,-1,-1,-1,-1,622077,41478,417646,6526
13,Mecklenburg-Vorpommern,239936,7824,149.201,-1,-1,-1,-1,172010,17196,91460,1253
3,Niedersachsen,1243290,30205,155.536,-1,-1,-1,-1,816093,81178,475311,6480
5,Nordrhein-Westfalen,3001300,72714,167.229,-1,-1,-1,-1,1880382,124034,1061763,14768
7,Rheinland-Pfalz,677220,16520,165.422,-1,-1,-1,-1,458289,36705,212830,6405
10,Saarland,183679,3938,186.120,-1,-1,-1,-1,129085,15001,61631,1846
14,Sachsen,645610,17966,158.550,-1,-1,-1,-1,440985,36470,285292,1628
15,Sachsen-Anhalt,372606,8118,169.769,-1,-1,-1,-1,234938,28130,117055,2462
1,Schleswig-Holstein,522182,8939,179.829,-1,-1,-1,-1,356539,32618,147213,2921
16,Thüringen,361208,7177,169.313,-1,-1,-1,-1,256396,20048,155836,3331
0,Gesamt,13567817,326352,163.140,-1,-1,-1,-1,8935533,750156,5117056,73539
