RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,6482328,9140,583.973,-1,-1,-1,-1,4510881,527657,5184668,39929,-1
9,Bayern,7602678,12752,579.263,-1,-1,-1,-1,5352384,629216,5832134,33554,-1
11,Berlin,2167460,5879,590.670,-1,-1,-1,-1,1498859,246824,1698436,16351,-1
12,Brandenburg,1381959,1450,547.985,-1,-1,-1,-1,940709,121420,1093182,11317,-1
4,Bremen,469912,995,689.828,-1,-1,-1,-1,319780,27204,358103,4986,-1
2,Hamburg,1129572,6186,611.487,-1,-1,-1,-1,778644,111583,822679,3978,-1
6,Hessen,3735663,10375,594.086,-1,-1,-1,-1,2556185,307155,2897956,22255,-1
13,Mecklenburg-Vorpommern,941407,1657,585.402,-1,-1,-1,-1,682400,75511,766157,4449,-1
3,Niedersachsen,5011301,13925,626.914,-1,-1,-1,-1,3158238,441378,3630761,32597,-1
5,Nordrhein-Westfalen,11371559,20130,633.611,-1,-1,-1,-1,7811453,737721,8853690,50323,-1
7,Rheinland-Pfalz,2503550,5754,611.531,-1,-1,-1,-1,1770091,188259,1916647,14391,-1
10,Saarland,646217,2526,654.803,-1,-1,-1,-1,483906,52545,498970,2482,-1
14,Sachsen,2074617,3799,509.487,-1,-1,-1,-1,1511236,187833,1760718,11259,-1
15,Sachsen-Anhalt,1225776,2521,558.496,-1,-1,-1,-1,858602,109846,989316,8556,-1
1,Schleswig-Holstein,1846626,1903,635.940,-1,-1,-1,-1,1251458,150648,1422559,8671,-1
16,Thüringen,1159661,1466,546.949,-1,-1,-1,-1,824852,123375,972443,7034,-1
0,Gesamt,49931406,100496,600.377,-1,-1,-1,-1,34386385,4119255,38843476,273597,-1
