RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4332021,62460,390.258,-1,-1,-1,-1,2959930,329545,1519490,57007
9,Bayern,5326499,49902,405.837,-1,-1,-1,-1,3753706,372362,1719456,84006
11,Berlin,1359423,20230,370.466,-1,-1,-1,-1,933216,112410,546179,13279
12,Brandenburg,879260,13052,348.651,-1,-1,-1,-1,594279,66071,365638,11291
4,Bremen,276602,4311,406.050,-1,-1,-1,-1,181806,13851,119732,4717
2,Hamburg,702715,6198,380.411,-1,-1,-1,-1,476409,65445,242658,11322
6,Hessen,2513005,32435,399.646,-1,-1,-1,-1,1670910,200623,756965,26342
13,Mecklenburg-Vorpommern,668006,6567,415.391,-1,-1,-1,-1,483508,51371,212118,8824
3,Niedersachsen,3256371,36372,407.372,-1,-1,-1,-1,2107669,208522,972579,46850
5,Nordrhein-Westfalen,7562984,92932,421.401,-1,-1,-1,-1,5164868,481447,2277489,71641
7,Rheinland-Pfalz,1564946,19234,382.263,-1,-1,-1,-1,1082929,103116,624521,18505
10,Saarland,433034,4324,438.788,-1,-1,-1,-1,331963,30438,152014,7629
14,Sachsen,1406643,14349,345.445,-1,-1,-1,-1,978026,127413,706943,20940
15,Sachsen-Anhalt,833292,10027,379.670,-1,-1,-1,-1,594150,62461,293792,8387
1,Schleswig-Holstein,1053393,5880,362.767,-1,-1,-1,-1,754621,68068,448955,9111
16,Thüringen,784454,11570,367.705,-1,-1,-1,-1,560201,72546,358233,5303
0,Gesamt,33041570,390904,397.293,-1,-1,-1,-1,22634281,2430275,11343644,406455
