RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,7340518,3243,661.284,-1,-1,-1,-1,5191785,552733,6683783,4632,191693
9,Bayern,8641399,4972,658.405,-1,-1,-1,-1,6191416,672695,7907822,7175,172349
11,Berlin,2514507,1784,685.247,-1,-1,-1,-1,1766029,294041,2304237,2221,104747
12,Brandenburg,1577930,384,625.693,-1,-1,-1,-1,1093557,132009,1408771,520,23391
4,Bremen,547220,478,803.315,-1,-1,-1,-1,371373,35244,481683,587,16558
2,Hamburg,1356681,595,734.432,-1,-1,-1,-1,959663,118760,1216715,847,22335
6,Hessen,4319950,1358,687.006,-1,-1,-1,-1,3025528,345392,3859024,2258,96761
13,Mecklenburg-Vorpommern,1071866,696,666.526,-1,-1,-1,-1,783715,82647,974595,907,17184
3,Niedersachsen,5719009,1516,715.448,-1,-1,-1,-1,3708407,471023,5016925,2386,77191
5,Nordrhein-Westfalen,13152020,3414,732.817,-1,-1,-1,-1,9318824,793063,11663259,6362,323819
7,Rheinland-Pfalz,2889353,618,705.770,-1,-1,-1,-1,2081784,214119,2541092,1250,72320
10,Saarland,740215,294,750.050,-1,-1,-1,-1,555938,57361,669218,287,14712
14,Sachsen,2374870,1174,583.224,-1,-1,-1,-1,1761320,210354,2179360,1432,32551
15,Sachsen-Anhalt,1399930,703,637.845,-1,-1,-1,-1,988743,119251,1257766,1063,32828
1,Schleswig-Holstein,2136004,641,735.596,-1,-1,-1,-1,1481225,168610,1925613,787,69502
16,Thüringen,1304735,400,611.582,-1,-1,-1,-1,934646,126570,1195643,406,32116
0,Gesamt,57279438,22277,688.730,-1,-1,-1,-1,40296447,4476557,51462416,33122,1300402
