RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,189426,7961,17.065,96829,62226,6044,37012,186964,2462,38712,5695
9,Bayern*,278653,10696,21.231,100537,143919,5612,78081,269556,9097,86350,5143
11,Berlin,81198,3138,22.128,58189,22786,108,32102,79264,1934,22441,2646
12,Brandenburg,65723,2277,26.061,25325,37633,810,13303,65723,0,2755,1610
4,Bremen,17072,585,25.062,3336,7319,129,6253,15814,1258,2753,631
2,Hamburg,39140,1446,21.188,15018,18763,1837,10313,38830,310,5091,601
6,Hessen,108901,4613,17.319,40228,52475,4731,33975,108901,0,32577,2932
13,Mecklenburg-Vorpommern,52331,805,32.541,8722,23520,1093,19778,51001,1330,9881,3920
3,Niedersachsen,137227,1926,17.167,26246,75419,21169,59197,135323,1904,15507,6495
5,Nordrhein-Westfalen,295738,2991,16.478,0,147967,0,147799,295738,0,61632,5154
7,Rheinland-Pfalz,134587,4736,32.875,51774,51852,77,29224,130782,3805,5039,637
10,Saarland,18835,763,19.085,12775,4698,1,5538,18347,488,5420,754
14,Sachsen,77181,3458,18.954,7892,56037,152,20992,76992,189,9006,2643
15,Sachsen-Anhalt,45020,1225,20.512,14741,22640,1926,17018,44445,575,14730,1723
1,Schleswig-Holstein,87065,1430,29.983,25564,26466,5939,21012,86756,309,4408,1613
16,Thüringen,44118,2564,20.680,14989,23187,1790,5700,44118,0,2372,330
0,Gesamt,1672215,50614,20.107,502165,776907,51418,537297,1648554,23661,318674,42527
