RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,1636894,64558,147.463,-1,-1,-1,-1,1064725,76429,639675,12874
9,Bayern,2011889,90865,153.290,-1,-1,-1,-1,1381544,99786,846843,12585
11,Berlin,572973,20632,156.145,-1,-1,-1,-1,351516,48676,256849,4648
12,Brandenburg,404970,15611,160.582,-1,-1,-1,-1,262870,34034,131095,5878
4,Bremen,124223,6009,182.359,-1,-1,-1,-1,85120,7366,41341,645
2,Hamburg,276546,10860,149.707,-1,-1,-1,-1,191804,12710,104168,769
6,Hessen,866727,16803,137.837,-1,-1,-1,-1,583744,34887,393011,26
13,Mecklenburg-Vorpommern,225992,11480,140.530,-1,-1,-1,-1,164827,16229,90054,2035
3,Niedersachsen,1175972,51097,147.114,-1,-1,-1,-1,777634,77425,465922,8988
5,Nordrhein-Westfalen,2754110,106753,153.456,-1,-1,-1,-1,1748989,115488,1007204,14829
7,Rheinland-Pfalz,643618,25283,157.214,-1,-1,-1,-1,443991,35603,205803,2474
10,Saarland,173038,7381,175.337,-1,-1,-1,-1,121028,12669,58749,1036
14,Sachsen,595555,23631,146.257,-1,-1,-1,-1,419143,32966,281332,893
15,Sachsen-Anhalt,345608,5669,157.468,-1,-1,-1,-1,220764,26698,111096,8
1,Schleswig-Holstein,489300,8118,168.505,-1,-1,-1,-1,334612,29064,135600,13
16,Thüringen,346843,11240,162.579,-1,-1,-1,-1,242030,20048,141515,3102
0,Gesamt,12670288,476923,152.348,-1,-1,-1,-1,8394343,691720,4910308,70803
