RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8217948,348,740.329,-1,-1,-1,-1,5909033,641153,8242730,781,6349666
9,Bayern,9730829,445,741.411,-1,-1,-1,-1,7120764,763704,9831280,1258,7400599
11,Berlin,2847464,183,775.983,-1,-1,-1,-1,2035340,330216,2826239,441,2195284
12,Brandenburg,1757870,101,697.044,-1,-1,-1,-1,1239093,153445,1748535,297,1316143
4,Bremen,614768,37,902.475,-1,-1,-1,-1,421007,45828,607087,106,442115
2,Hamburg,1540889,198,834.152,-1,-1,-1,-1,1107311,129975,1539967,186,1118149
6,Hessen,4834291,240,768.802,-1,-1,-1,-1,3450511,407634,4699088,551,3572842
13,Mecklenburg-Vorpommern,1198194,64,745.082,-1,-1,-1,-1,885201,99426,1199687,169,918766
3,Niedersachsen,6283675,388,786.087,-1,-1,-1,-1,4195626,517065,6220672,928,5090331
5,Nordrhein-Westfalen,14428518,834,803.942,-1,-1,-1,-1,10401804,910091,14160381,1626,11045078
7,Rheinland-Pfalz,3181172,108,777.051,-1,-1,-1,-1,2323647,242645,3083259,333,2420558
10,Saarland,811769,21,822.555,-1,-1,-1,-1,612343,65836,809976,85,650893
14,Sachsen,2654118,179,651.802,-1,-1,-1,-1,1999352,242083,2620107,560,1958617
15,Sachsen-Anhalt,1570377,112,715.505,-1,-1,-1,-1,1122199,146712,1597988,363,1188239
1,Schleswig-Holstein,2343604,122,807.089,-1,-1,-1,-1,1657485,191452,2351907,276,2100371
16,Thüringen,1489403,151,702.470,-1,-1,-1,-1,1081483,141258,1491148,390,1100269
0,Gesamt,63706942,3533,766.015,-1,-1,-1,-1,45652484,5111859,63225075,8358,49010374
