RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,487390,18161,43.907,281976,168956,14134,77794,430166,26402,254302,8785
9,Bayern,683464,26011,52.074,294009,313070,25256,116694,593642,21410,344192,8802
11,Berlin,168870,4698,46.020,118647,52049,150,41548,148645,5896,112990,2848
12,Brandenburg,104318,4786,41.365,44286,54874,2805,21706,85573,4160,74701,583
4,Bremen,34219,1452,50.233,16122,14300,505,7849,28469,1931,19956,459
2,Hamburg,96003,2759,51.971,39958,49196,1965,15534,77651,1805,51868,687
6,Hessen,262941,8591,41.816,134863,99080,6533,49607,244545,8073,126985,3528
13,Mecklenburg-Vorpommern,79502,2171,49.437,23316,33417,1615,23289,72272,3192,48997,1229
3,Niedersachsen,357187,14612,44.684,159115,143584,38173,91409,312969,10746,165970,5157
5,Nordrhein-Westfalen,814548,9642,45.386,242173,445622,16380,180229,697527,19661,378048,7691
7,Rheinland-Pfalz,203526,3590,49.714,76396,90022,1243,35865,173148,4536,138409,1286
10,Saarland,48966,1667,49.617,28061,17473,6,9933,39723,1493,22653,248
14,Sachsen,198564,7580,48.764,74947,86039,6516,33980,182784,9924,91335,3400
15,Sachsen-Anhalt,95119,3262,43.339,35616,45432,4395,27954,79593,3832,52352,1036
1,Schleswig-Holstein,138111,3438,47.563,58245,55154,9560,49246,118747,4067,88793,2097
16,Thüringen,108762,2225,50.981,58662,41828,5243,21007,98067,7196,57496,1741
0,Gesamt,3881490,114645,46.671,1686392,1710096,134479,803644,3383521,134324,2029047,49577
